anio,edad_mujer_grupo,edad_hombre_grupo,valor
2009,15 - 19,15-19,5003
2009,15 - 19,20-24,8524
2009,15 - 19,25-29,2500
2009,15 - 19,30-34,611
2009,15 - 19,35-39,168
2009,15 - 19,40-44,45
2009,15 - 19,45-49,21
2009,15 - 19,50-54,5
2009,15 - 19,55-59,3
2009,15 - 19,60-64,4
2009,15 - 19,65 y más,7
2009,15 - 19,Ignorado,405
2009,15 - 19,Menos de 15,0
2009,20 - 24,15-19,1652
2009,20 - 24,20-24,9290
2009,20 - 24,25-29,5978
2009,20 - 24,30-34,1578
2009,20 - 24,35-39,456
2009,20 - 24,40-44,131
2009,20 - 24,45-49,61
2009,20 - 24,50-54,42
2009,20 - 24,55-59,12
2009,20 - 24,60-64,11
2009,20 - 24,65 y más,9
2009,20 - 24,Ignorado,325
2009,20 - 24,Menos de 15,0
2009,25 - 29,15-19,226
2009,25 - 29,20-24,1908
2009,25 - 29,25-29,4152
2009,25 - 29,30-34,2503
2009,25 - 29,35-39,751
2009,25 - 29,40-44,257
2009,25 - 29,45-49,111
2009,25 - 29,50-54,48
2009,25 - 29,55-59,23
2009,25 - 29,60-64,22
2009,25 - 29,65 y más,12
2009,25 - 29,Ignorado,151
2009,25 - 29,Menos de 15,0
2009,30 - 34,15-19,31
2009,30 - 34,20-24,346
2009,30 - 34,25-29,880
2009,30 - 34,30-34,1669
2009,30 - 34,35-39,1010
2009,30 - 34,40-44,354
2009,30 - 34,45-49,141
2009,30 - 34,50-54,78
2009,30 - 34,55-59,53
2009,30 - 34,60-64,22
2009,30 - 34,65 y más,26
2009,30 - 34,Ignorado,62
2009,30 - 34,Menos de 15,0
2009,35 - 39,15-19,5
2009,35 - 39,20-24,74
2009,35 - 39,25-29,164
2009,35 - 39,30-34,413
2009,35 - 39,35-39,722
2009,35 - 39,40-44,548
2009,35 - 39,45-49,253
2009,35 - 39,50-54,118
2009,35 - 39,55-59,58
2009,35 - 39,60-64,34
2009,35 - 39,65 y más,27
2009,35 - 39,Ignorado,29
2009,35 - 39,Menos de 15,0
2009,40 - 44,15-19,3
2009,40 - 44,20-24,17
2009,40 - 44,25-29,39
2009,40 - 44,30-34,74
2009,40 - 44,35-39,186
2009,40 - 44,40-44,353
2009,40 - 44,45-49,334
2009,40 - 44,50-54,151
2009,40 - 44,55-59,73
2009,40 - 44,60-64,49
2009,40 - 44,65 y más,38
2009,40 - 44,Ignorado,22
2009,40 - 44,Menos de 15,0
2009,45 - 49,15-19,1
2009,45 - 49,20-24,8
2009,45 - 49,25-29,11
2009,45 - 49,30-34,21
2009,45 - 49,35-39,41
2009,45 - 49,40-44,116
2009,45 - 49,45-49,295
2009,45 - 49,50-54,274
2009,45 - 49,55-59,149
2009,45 - 49,60-64,80
2009,45 - 49,65 y más,67
2009,45 - 49,Ignorado,17
2009,45 - 49,Menos de 15,0
2009,50 - 54,15-19,0
2009,50 - 54,20-24,2
2009,50 - 54,25-29,3
2009,50 - 54,30-34,9
2009,50 - 54,35-39,10
2009,50 - 54,40-44,35
2009,50 - 54,45-49,72
2009,50 - 54,50-54,202
2009,50 - 54,55-59,211
2009,50 - 54,60-64,131
2009,50 - 54,65 y más,79
2009,50 - 54,Ignorado,15
2009,50 - 54,Menos de 15,0
2009,55 - 59,15-19,0
2009,55 - 59,20-24,0
2009,55 - 59,25-29,0
2009,55 - 59,30-34,1
2009,55 - 59,35-39,5
2009,55 - 59,40-44,9
2009,55 - 59,45-49,17
2009,55 - 59,50-54,57
2009,55 - 59,55-59,140
2009,55 - 59,60-64,223
2009,55 - 59,65 y más,100
2009,55 - 59,Ignorado,14
2009,55 - 59,Menos de 15,0
2009,60 - 64,15-19,0
2009,60 - 64,20-24,0
2009,60 - 64,25-29,0
2009,60 - 64,30-34,1
2009,60 - 64,35-39,0
2009,60 - 64,40-44,3
2009,60 - 64,45-49,4
2009,60 - 64,50-54,8
2009,60 - 64,55-59,36
2009,60 - 64,60-64,107
2009,60 - 64,65 y más,179
2009,60 - 64,Ignorado,3
2009,60 - 64,Menos de 15,0
2009,65 y más,15-19,1
2009,65 y más,20-24,3
2009,65 y más,25-29,1
2009,65 y más,30-34,0
2009,65 y más,35-39,1
2009,65 y más,40-44,1
2009,65 y más,45-49,2
2009,65 y más,50-54,5
2009,65 y más,55-59,20
2009,65 y más,60-64,41
2009,65 y más,65 y más,413
2009,65 y más,Ignorado,7
2009,65 y más,Menos de 15,0
2009,Ignorado,15-19,252
2009,Ignorado,20-24,593
2009,Ignorado,25-29,271
2009,Ignorado,30-34,113
2009,Ignorado,35-39,51
2009,Ignorado,40-44,31
2009,Ignorado,45-49,29
2009,Ignorado,50-54,13
2009,Ignorado,55-59,8
2009,Ignorado,60-64,12
2009,Ignorado,65 y más,20
2009,Ignorado,Ignorado,1173
2009,Ignorado,Menos de 15,0
2009,Menos de 15,15-19,388
2009,Menos de 15,20-24,311
2009,Menos de 15,25-29,70
2009,Menos de 15,30-34,28
2009,Menos de 15,35-39,1
2009,Menos de 15,40-44,1
2009,Menos de 15,45-49,3
2009,Menos de 15,50-54,0
2009,Menos de 15,55-59,0
2009,Menos de 15,60-64,1
2009,Menos de 15,65 y más,0
2009,Menos de 15,Ignorado,23
2009,Menos de 15,Menos de 15,0
2010,15 - 19,15-19,5857
2010,15 - 19,20-24,9948
2010,15 - 19,25-29,3004
2010,15 - 19,30-34,702
2010,15 - 19,35-39,172
2010,15 - 19,40-44,62
2010,15 - 19,45-49,26
2010,15 - 19,50-54,8
2010,15 - 19,55-59,7
2010,15 - 19,60-64,4
2010,15 - 19,65 y más,2
2010,15 - 19,Ignorado,40
2010,15 - 19,Menos de 15,7
2010,20 - 24,15-19,1820
2010,20 - 24,20-24,10912
2010,20 - 24,25-29,7230
2010,20 - 24,30-34,1990
2010,20 - 24,35-39,578
2010,20 - 24,40-44,169
2010,20 - 24,45-49,67
2010,20 - 24,50-54,42
2010,20 - 24,55-59,9
2010,20 - 24,60-64,6
2010,20 - 24,65 y más,7
2010,20 - 24,Ignorado,34
2010,20 - 24,Menos de 15,5
2010,25 - 29,15-19,236
2010,25 - 29,20-24,2388
2010,25 - 29,25-29,5173
2010,25 - 29,30-34,3258
2010,25 - 29,35-39,905
2010,25 - 29,40-44,307
2010,25 - 29,45-49,144
2010,25 - 29,50-54,62
2010,25 - 29,55-59,31
2010,25 - 29,60-64,19
2010,25 - 29,65 y más,14
2010,25 - 29,Ignorado,17
2010,25 - 29,Menos de 15,0
2010,30 - 34,15-19,39
2010,30 - 34,20-24,395
2010,30 - 34,25-29,1299
2010,30 - 34,30-34,2254
2010,30 - 34,35-39,1392
2010,30 - 34,40-44,503
2010,30 - 34,45-49,217
2010,30 - 34,50-54,103
2010,30 - 34,55-59,39
2010,30 - 34,60-64,32
2010,30 - 34,65 y más,36
2010,30 - 34,Ignorado,16
2010,30 - 34,Menos de 15,0
2010,35 - 39,15-19,8
2010,35 - 39,20-24,83
2010,35 - 39,25-29,199
2010,35 - 39,30-34,531
2010,35 - 39,35-39,986
2010,35 - 39,40-44,725
2010,35 - 39,45-49,315
2010,35 - 39,50-54,141
2010,35 - 39,55-59,63
2010,35 - 39,60-64,41
2010,35 - 39,65 y más,40
2010,35 - 39,Ignorado,6
2010,35 - 39,Menos de 15,0
2010,40 - 44,15-19,1
2010,40 - 44,20-24,16
2010,40 - 44,25-29,45
2010,40 - 44,30-34,115
2010,40 - 44,35-39,263
2010,40 - 44,40-44,530
2010,40 - 44,45-49,502
2010,40 - 44,50-54,240
2010,40 - 44,55-59,101
2010,40 - 44,60-64,72
2010,40 - 44,65 y más,64
2010,40 - 44,Ignorado,5
2010,40 - 44,Menos de 15,0
2010,45 - 49,15-19,2
2010,45 - 49,20-24,6
2010,45 - 49,25-29,15
2010,45 - 49,30-34,32
2010,45 - 49,35-39,64
2010,45 - 49,40-44,143
2010,45 - 49,45-49,521
2010,45 - 49,50-54,495
2010,45 - 49,55-59,219
2010,45 - 49,60-64,101
2010,45 - 49,65 y más,92
2010,45 - 49,Ignorado,4
2010,45 - 49,Menos de 15,0
2010,50 - 54,15-19,1
2010,50 - 54,20-24,2
2010,50 - 54,25-29,2
2010,50 - 54,30-34,8
2010,50 - 54,35-39,22
2010,50 - 54,40-44,39
2010,50 - 54,45-49,108
2010,50 - 54,50-54,366
2010,50 - 54,55-59,399
2010,50 - 54,60-64,209
2010,50 - 54,65 y más,116
2010,50 - 54,Ignorado,0
2010,50 - 54,Menos de 15,0
2010,55 - 59,15-19,0
2010,55 - 59,20-24,0
2010,55 - 59,25-29,0
2010,55 - 59,30-34,4
2010,55 - 59,35-39,6
2010,55 - 59,40-44,6
2010,55 - 59,45-49,23
2010,55 - 59,50-54,78
2010,55 - 59,55-59,265
2010,55 - 59,60-64,348
2010,55 - 59,65 y más,200
2010,55 - 59,Ignorado,2
2010,55 - 59,Menos de 15,0
2010,60 - 64,15-19,0
2010,60 - 64,20-24,1
2010,60 - 64,25-29,0
2010,60 - 64,30-34,0
2010,60 - 64,35-39,1
2010,60 - 64,40-44,1
2010,60 - 64,45-49,8
2010,60 - 64,50-54,15
2010,60 - 64,55-59,72
2010,60 - 64,60-64,200
2010,60 - 64,65 y más,327
2010,60 - 64,Ignorado,0
2010,60 - 64,Menos de 15,0
2010,65 y más,15-19,0
2010,65 y más,20-24,0
2010,65 y más,25-29,0
2010,65 y más,30-34,0
2010,65 y más,35-39,0
2010,65 y más,40-44,3
2010,65 y más,45-49,2
2010,65 y más,50-54,4
2010,65 y más,55-59,17
2010,65 y más,60-64,67
2010,65 y más,65 y más,670
2010,65 y más,Ignorado,1
2010,65 y más,Menos de 15,0
2010,Ignorado,15-19,10
2010,Ignorado,20-24,32
2010,Ignorado,25-29,15
2010,Ignorado,30-34,12
2010,Ignorado,35-39,3
2010,Ignorado,40-44,7
2010,Ignorado,45-49,3
2010,Ignorado,50-54,3
2010,Ignorado,55-59,3
2010,Ignorado,60-64,3
2010,Ignorado,65 y más,4
2010,Ignorado,Ignorado,156
2010,Ignorado,Menos de 15,0
2010,Menos de 15,15-19,386
2010,Menos de 15,20-24,381
2010,Menos de 15,25-29,112
2010,Menos de 15,30-34,17
2010,Menos de 15,35-39,7
2010,Menos de 15,40-44,1
2010,Menos de 15,45-49,0
2010,Menos de 15,50-54,1
2010,Menos de 15,55-59,0
2010,Menos de 15,60-64,0
2010,Menos de 15,65 y más,1
2010,Menos de 15,Ignorado,0
2010,Menos de 15,Menos de 15,1
2011,15 - 19,15-19,6733
2011,15 - 19,20-24,11231
2011,15 - 19,25-29,3124
2011,15 - 19,30-34,788
2011,15 - 19,35-39,191
2011,15 - 19,40-44,52
2011,15 - 19,45-49,27
2011,15 - 19,50-54,9
2011,15 - 19,55-59,6
2011,15 - 19,60-64,4
2011,15 - 19,65 y más,2
2011,15 - 19,Ignorado,12
2011,15 - 19,Menos de 15,12
2011,20 - 24,15-19,2199
2011,20 - 24,20-24,12176
2011,20 - 24,25-29,7600
2011,20 - 24,30-34,2137
2011,20 - 24,35-39,592
2011,20 - 24,40-44,162
2011,20 - 24,45-49,69
2011,20 - 24,50-54,39
2011,20 - 24,55-59,16
2011,20 - 24,60-64,11
2011,20 - 24,65 y más,14
2011,20 - 24,Ignorado,21
2011,20 - 24,Menos de 15,1
2011,25 - 29,15-19,267
2011,25 - 29,20-24,2705
2011,25 - 29,25-29,5632
2011,25 - 29,30-34,3393
2011,25 - 29,35-39,1009
2011,25 - 29,40-44,338
2011,25 - 29,45-49,135
2011,25 - 29,50-54,61
2011,25 - 29,55-59,39
2011,25 - 29,60-64,20
2011,25 - 29,65 y más,22
2011,25 - 29,Ignorado,12
2011,25 - 29,Menos de 15,0
2011,30 - 34,15-19,46
2011,30 - 34,20-24,494
2011,30 - 34,25-29,1284
2011,30 - 34,30-34,2336
2011,30 - 34,35-39,1504
2011,30 - 34,40-44,497
2011,30 - 34,45-49,192
2011,30 - 34,50-54,115
2011,30 - 34,55-59,64
2011,30 - 34,60-64,35
2011,30 - 34,65 y más,28
2011,30 - 34,Ignorado,4
2011,30 - 34,Menos de 15,0
2011,35 - 39,15-19,11
2011,35 - 39,20-24,83
2011,35 - 39,25-29,240
2011,35 - 39,30-34,588
2011,35 - 39,35-39,933
2011,35 - 39,40-44,780
2011,35 - 39,45-49,283
2011,35 - 39,50-54,165
2011,35 - 39,55-59,77
2011,35 - 39,60-64,53
2011,35 - 39,65 y más,43
2011,35 - 39,Ignorado,7
2011,35 - 39,Menos de 15,0
2011,40 - 44,15-19,2
2011,40 - 44,20-24,19
2011,40 - 44,25-29,49
2011,40 - 44,30-34,112
2011,40 - 44,35-39,266
2011,40 - 44,40-44,504
2011,40 - 44,45-49,401
2011,40 - 44,50-54,255
2011,40 - 44,55-59,116
2011,40 - 44,60-64,78
2011,40 - 44,65 y más,66
2011,40 - 44,Ignorado,1
2011,40 - 44,Menos de 15,0
2011,45 - 49,15-19,1
2011,45 - 49,20-24,8
2011,45 - 49,25-29,17
2011,45 - 49,30-34,31
2011,45 - 49,35-39,78
2011,45 - 49,40-44,156
2011,45 - 49,45-49,373
2011,45 - 49,50-54,379
2011,45 - 49,55-59,184
2011,45 - 49,60-64,116
2011,45 - 49,65 y más,89
2011,45 - 49,Ignorado,4
2011,45 - 49,Menos de 15,0
2011,50 - 54,15-19,0
2011,50 - 54,20-24,1
2011,50 - 54,25-29,6
2011,50 - 54,30-34,8
2011,50 - 54,35-39,26
2011,50 - 54,40-44,41
2011,50 - 54,45-49,107
2011,50 - 54,50-54,260
2011,50 - 54,55-59,335
2011,50 - 54,60-64,184
2011,50 - 54,65 y más,122
2011,50 - 54,Ignorado,4
2011,50 - 54,Menos de 15,0
2011,55 - 59,15-19,0
2011,55 - 59,20-24,0
2011,55 - 59,25-29,1
2011,55 - 59,30-34,0
2011,55 - 59,35-39,8
2011,55 - 59,40-44,13
2011,55 - 59,45-49,32
2011,55 - 59,50-54,70
2011,55 - 59,55-59,225
2011,55 - 59,60-64,245
2011,55 - 59,65 y más,165
2011,55 - 59,Ignorado,1
2011,55 - 59,Menos de 15,0
2011,60 - 64,15-19,0
2011,60 - 64,20-24,2
2011,60 - 64,25-29,0
2011,60 - 64,30-34,0
2011,60 - 64,35-39,1
2011,60 - 64,40-44,2
2011,60 - 64,45-49,8
2011,60 - 64,50-54,15
2011,60 - 64,55-59,44
2011,60 - 64,60-64,160
2011,60 - 64,65 y más,278
2011,60 - 64,Ignorado,1
2011,60 - 64,Menos de 15,0
2011,65 y más,15-19,1
2011,65 y más,20-24,0
2011,65 y más,25-29,1
2011,65 y más,30-34,1
2011,65 y más,35-39,0
2011,65 y más,40-44,2
2011,65 y más,45-49,2
2011,65 y más,50-54,6
2011,65 y más,55-59,17
2011,65 y más,60-64,46
2011,65 y más,65 y más,577
2011,65 y más,Ignorado,1
2011,65 y más,Menos de 15,0
2011,Ignorado,15-19,6
2011,Ignorado,20-24,20
2011,Ignorado,25-29,18
2011,Ignorado,30-34,5
2011,Ignorado,35-39,6
2011,Ignorado,40-44,2
2011,Ignorado,45-49,5
2011,Ignorado,50-54,1
2011,Ignorado,55-59,3
2011,Ignorado,60-64,1
2011,Ignorado,65 y más,3
2011,Ignorado,Ignorado,47
2011,Ignorado,Menos de 15,0
2011,Menos de 15,15-19,513
2011,Menos de 15,20-24,458
2011,Menos de 15,25-29,109
2011,Menos de 15,30-34,31
2011,Menos de 15,35-39,5
2011,Menos de 15,40-44,1
2011,Menos de 15,45-49,1
2011,Menos de 15,50-54,0
2011,Menos de 15,55-59,0
2011,Menos de 15,60-64,0
2011,Menos de 15,65 y más,0
2011,Menos de 15,Ignorado,0
2011,Menos de 15,Menos de 15,4
2012,15 - 19,15-19,7102
2012,15 - 19,20-24,11452
2012,15 - 19,25-29,3198
2012,15 - 19,30-34,725
2012,15 - 19,35-39,203
2012,15 - 19,40-44,65
2012,15 - 19,45-49,21
2012,15 - 19,50-54,12
2012,15 - 19,55-59,7
2012,15 - 19,60-64,2
2012,15 - 19,65 y más,7
2012,15 - 19,Ignorado,9
2012,15 - 19,Menos de 15,3
2012,20 - 24,15-19,2212
2012,20 - 24,20-24,12904
2012,20 - 24,25-29,8078
2012,20 - 24,30-34,2298
2012,20 - 24,35-39,625
2012,20 - 24,40-44,184
2012,20 - 24,45-49,81
2012,20 - 24,50-54,30
2012,20 - 24,55-59,16
2012,20 - 24,60-64,6
2012,20 - 24,65 y más,9
2012,20 - 24,Ignorado,18
2012,20 - 24,Menos de 15,0
2012,25 - 29,15-19,283
2012,25 - 29,20-24,2808
2012,25 - 29,25-29,5890
2012,25 - 29,30-34,3942
2012,25 - 29,35-39,1039
2012,25 - 29,40-44,330
2012,25 - 29,45-49,155
2012,25 - 29,50-54,97
2012,25 - 29,55-59,45
2012,25 - 29,60-64,27
2012,25 - 29,65 y más,23
2012,25 - 29,Ignorado,9
2012,25 - 29,Menos de 15,0
2012,30 - 34,15-19,47
2012,30 - 34,20-24,540
2012,30 - 34,25-29,1442
2012,30 - 34,30-34,2688
2012,30 - 34,35-39,1686
2012,30 - 34,40-44,588
2012,30 - 34,45-49,243
2012,30 - 34,50-54,139
2012,30 - 34,55-59,74
2012,30 - 34,60-64,36
2012,30 - 34,65 y más,31
2012,30 - 34,Ignorado,5
2012,30 - 34,Menos de 15,0
2012,35 - 39,15-19,10
2012,35 - 39,20-24,86
2012,35 - 39,25-29,294
2012,35 - 39,30-34,654
2012,35 - 39,35-39,1144
2012,35 - 39,40-44,858
2012,35 - 39,45-49,404
2012,35 - 39,50-54,202
2012,35 - 39,55-59,90
2012,35 - 39,60-64,54
2012,35 - 39,65 y más,54
2012,35 - 39,Ignorado,6
2012,35 - 39,Menos de 15,0
2012,40 - 44,15-19,4
2012,40 - 44,20-24,23
2012,40 - 44,25-29,54
2012,40 - 44,30-34,153
2012,40 - 44,35-39,276
2012,40 - 44,40-44,604
2012,40 - 44,45-49,523
2012,40 - 44,50-54,234
2012,40 - 44,55-59,137
2012,40 - 44,60-64,80
2012,40 - 44,65 y más,61
2012,40 - 44,Ignorado,1
2012,40 - 44,Menos de 15,0
2012,45 - 49,15-19,2
2012,45 - 49,20-24,5
2012,45 - 49,25-29,18
2012,45 - 49,30-34,36
2012,45 - 49,35-39,81
2012,45 - 49,40-44,173
2012,45 - 49,45-49,471
2012,45 - 49,50-54,511
2012,45 - 49,55-59,230
2012,45 - 49,60-64,119
2012,45 - 49,65 y más,95
2012,45 - 49,Ignorado,1
2012,45 - 49,Menos de 15,0
2012,50 - 54,15-19,0
2012,50 - 54,20-24,1
2012,50 - 54,25-29,4
2012,50 - 54,30-34,14
2012,50 - 54,35-39,17
2012,50 - 54,40-44,33
2012,50 - 54,45-49,102
2012,50 - 54,50-54,353
2012,50 - 54,55-59,389
2012,50 - 54,60-64,203
2012,50 - 54,65 y más,165
2012,50 - 54,Ignorado,0
2012,50 - 54,Menos de 15,0
2012,55 - 59,15-19,0
2012,55 - 59,20-24,0
2012,55 - 59,25-29,1
2012,55 - 59,30-34,3
2012,55 - 59,35-39,6
2012,55 - 59,40-44,12
2012,55 - 59,45-49,28
2012,55 - 59,50-54,99
2012,55 - 59,55-59,293
2012,55 - 59,60-64,333
2012,55 - 59,65 y más,229
2012,55 - 59,Ignorado,0
2012,55 - 59,Menos de 15,0
2012,60 - 64,15-19,1
2012,60 - 64,20-24,0
2012,60 - 64,25-29,1
2012,60 - 64,30-34,2
2012,60 - 64,35-39,0
2012,60 - 64,40-44,1
2012,60 - 64,45-49,13
2012,60 - 64,50-54,26
2012,60 - 64,55-59,69
2012,60 - 64,60-64,210
2012,60 - 64,65 y más,365
2012,60 - 64,Ignorado,0
2012,60 - 64,Menos de 15,0
2012,65 y más,15-19,0
2012,65 y más,20-24,0
2012,65 y más,25-29,0
2012,65 y más,30-34,0
2012,65 y más,35-39,0
2012,65 y más,40-44,1
2012,65 y más,45-49,5
2012,65 y más,50-54,3
2012,65 y más,55-59,26
2012,65 y más,60-64,66
2012,65 y más,65 y más,793
2012,65 y más,Ignorado,3
2012,65 y más,Menos de 15,0
2012,Ignorado,15-19,9
2012,Ignorado,20-24,12
2012,Ignorado,25-29,11
2012,Ignorado,30-34,9
2012,Ignorado,35-39,7
2012,Ignorado,40-44,3
2012,Ignorado,45-49,2
2012,Ignorado,50-54,1
2012,Ignorado,55-59,0
2012,Ignorado,60-64,0
2012,Ignorado,65 y más,3
2012,Ignorado,Ignorado,31
2012,Ignorado,Menos de 15,0
2012,Menos de 15,15-19,527
2012,Menos de 15,20-24,452
2012,Menos de 15,25-29,92
2012,Menos de 15,30-34,27
2012,Menos de 15,35-39,9
2012,Menos de 15,40-44,1
2012,Menos de 15,45-49,1
2012,Menos de 15,50-54,0
2012,Menos de 15,55-59,0
2012,Menos de 15,60-64,0
2012,Menos de 15,65 y más,1
2012,Menos de 15,Ignorado,0
2012,Menos de 15,Menos de 15,3
2013,15 - 19,15-19,6730
2013,15 - 19,20-24,11057
2013,15 - 19,25-29,2947
2013,15 - 19,30-34,757
2013,15 - 19,35-39,191
2013,15 - 19,40-44,63
2013,15 - 19,45-49,22
2013,15 - 19,50-54,14
2013,15 - 19,55-59,11
2013,15 - 19,60-64,3
2013,15 - 19,65 y más,7
2013,15 - 19,Ignorado,5
2013,15 - 19,Menos de 15,4
2013,20 - 24,15-19,2115
2013,20 - 24,20-24,12407
2013,20 - 24,25-29,7531
2013,20 - 24,30-34,2292
2013,20 - 24,35-39,670
2013,20 - 24,40-44,202
2013,20 - 24,45-49,76
2013,20 - 24,50-54,46
2013,20 - 24,55-59,11
2013,20 - 24,60-64,15
2013,20 - 24,65 y más,16
2013,20 - 24,Ignorado,5
2013,20 - 24,Menos de 15,0
2013,25 - 29,15-19,268
2013,25 - 29,20-24,2762
2013,25 - 29,25-29,5764
2013,25 - 29,30-34,3567
2013,25 - 29,35-39,1135
2013,25 - 29,40-44,355
2013,25 - 29,45-49,140
2013,25 - 29,50-54,73
2013,25 - 29,55-59,42
2013,25 - 29,60-64,26
2013,25 - 29,65 y más,31
2013,25 - 29,Ignorado,6
2013,25 - 29,Menos de 15,0
2013,30 - 34,15-19,55
2013,30 - 34,20-24,518
2013,30 - 34,25-29,1447
2013,30 - 34,30-34,2577
2013,30 - 34,35-39,1668
2013,30 - 34,40-44,592
2013,30 - 34,45-49,232
2013,30 - 34,50-54,136
2013,30 - 34,55-59,68
2013,30 - 34,60-64,48
